"activity" "subject" "variable" "mean"
"LAYING" 25 "fBodyAcc_mean___X" -0.436034489253731
"LAYING" 25 "fBodyAcc_mean___Y" -0.227198247731343
"LAYING" 25 "fBodyAcc_mean___Z" -0.536272947910448
"LAYING" 25 "fBodyAcc_std___X" -0.326181856286567
"LAYING" 25 "fBodyAcc_std___Y" -0.126670021822388
"LAYING" 25 "fBodyAcc_std___Z" -0.32338945780597
"LAYING" 25 "fBodyAcc_meanFreq___X" -0.497235523358209
"LAYING" 25 "fBodyAcc_meanFreq___Y" -0.253491712955224
"LAYING" 25 "fBodyAcc_meanFreq___Z" -0.260071893656716
"LAYING" 25 "fBodyAccJerk_mean___X" -0.563297812686567
"LAYING" 25 "fBodyAccJerk_mean___Y" -0.477200653134328
"LAYING" 25 "fBodyAccJerk_mean___Z" -0.708871252238806
"LAYING" 25 "fBodyAccJerk_std___X" -0.579391492537313
"LAYING" 25 "fBodyAccJerk_std___Y" -0.43525080158209
"LAYING" 25 "fBodyAccJerk_std___Z" -0.750957549701493
"LAYING" 25 "fBodyAccJerk_meanFreq___X" -0.358419952002985
"LAYING" 25 "fBodyAccJerk_meanFreq___Y" -0.592881836119403
"LAYING" 25 "fBodyAccJerk_meanFreq___Z" -0.465823000880597
"LAYING" 25 "fBodyGyro_mean___X" -0.308711959208955
"LAYING" 25 "fBodyGyro_mean___Y" -0.595633568656716
"LAYING" 25 "fBodyGyro_mean___Z" -0.489308655223881
"LAYING" 25 "fBodyGyro_std___X" -0.372271685656716
"LAYING" 25 "fBodyGyro_std___Y" -0.377961868955224
"LAYING" 25 "fBodyGyro_std___Z" -0.544200300298507
"LAYING" 25 "fBodyGyro_meanFreq___X" -0.319921454716418
"LAYING" 25 "fBodyGyro_meanFreq___Y" -0.438329323249104
"LAYING" 25 "fBodyGyro_meanFreq___Z" -0.229658512152239
"LAYING" 25 "fBodyAccMag_mean__" -0.381844136656716
"LAYING" 25 "fBodyAccMag_std__" -0.441953191044776
"LAYING" 25 "fBodyAccMag_meanFreq__" -0.146913785820896
"LAYING" 25 "fBodyBodyAccJerkMag_mean__" -0.529074730447761
"LAYING" 25 "fBodyBodyAccJerkMag_std__" -0.566815624477612
"LAYING" 25 "fBodyBodyAccJerkMag_meanFreq__" 0.0503573530673134
"LAYING" 25 "fBodyBodyGyroMag_mean__" -0.482637288955224
"LAYING" 25 "fBodyBodyGyroMag_std__" -0.379517451373134
"LAYING" 25 "fBodyBodyGyroMag_meanFreq__" -0.229709713507463
"LAYING" 25 "fBodyBodyGyroJerkMag_mean__" -0.725791752835821
"LAYING" 25 "fBodyBodyGyroJerkMag_std__" -0.739360746865672
"LAYING" 25 "fBodyBodyGyroJerkMag_meanFreq__" -0.0470207701531343
"LAYING" 26 "tBodyAcc_mean___X" 0.2730365808625
"LAYING" 26 "tBodyAcc_mean___Y" -0.0161687277463495
"LAYING" 26 "tBodyAcc_mean___Z" -0.107637894928571
"LAYING" 26 "tBodyAcc_std___X" -0.623101031168367
"LAYING" 26 "tBodyAcc_std___Y" -0.585967142418112
"LAYING" 26 "tBodyAcc_std___Z" -0.70498062744898
"LAYING" 26 "tGravityAcc_mean___X" 0.615123534668367
"LAYING" 26 "tGravityAcc_mean___Y" 0.10870478277551
"LAYING" 26 "tGravityAcc_mean___Z" 0.234107010472449
"LAYING" 26 "tGravityAcc_std___X" -0.96781789994898
"LAYING" 26 "tGravityAcc_std___Y" -0.959713562227041
"LAYING" 26 "tGravityAcc_std___Z" -0.955643363545918
"LAYING" 26 "tBodyAccJerk_mean___X" 0.0808743261341837
"LAYING" 26 "tBodyAccJerk_mean___Y" 0.00767709978181122
"LAYING" 26 "tBodyAccJerk_mean___Z" -0.00724891943768878
"LAYING" 26 "tBodyAccJerk_std___X" -0.682815652993112
"LAYING" 26 "tBodyAccJerk_std___Y" -0.678386582086227
"LAYING" 26 "tBodyAccJerk_std___Z" -0.778349460841837
"LAYING" 26 "tBodyGyro_mean___X" -0.020659932105102
"LAYING" 26 "tBodyGyro_mean___Y" -0.0827415060904082
"LAYING" 26 "tBodyGyro_mean___Z" 0.0917853294044643
"LAYING" 26 "tBodyGyro_std___X" -0.766673970339286
"LAYING" 26 "tBodyGyro_std___Y" -0.800675471045918
"LAYING" 26 "tBodyGyro_std___Z" -0.703347205619898
"LAYING" 26 "tBodyGyroJerk_mean___X" -0.0988125627461224
"LAYING" 26 "tBodyGyroJerk_mean___Y" -0.040476400288852
"LAYING" 26 "tBodyGyroJerk_mean___Z" -0.0558282743354031
"LAYING" 26 "tBodyGyroJerk_std___X" -0.732321370690816
"LAYING" 26 "tBodyGyroJerk_std___Y" -0.836112175331633
"LAYING" 26 "tBodyGyroJerk_std___Z" -0.773101524821429
"LAYING" 26 "tBodyAccMag_mean__" -0.600932264175765
"LAYING" 26 "tBodyAccMag_std__" -0.620355788665816
"LAYING" 26 "tGravityAccMag_mean__" -0.600932264175765
"LAYING" 26 "tGravityAccMag_std__" -0.620355788665816
"LAYING" 26 "tBodyAccJerkMag_mean__" -0.694917859209184
"LAYING" 26 "tBodyAccJerkMag_std__" -0.677426336392347
"LAYING" 26 "tBodyGyroMag_mean__" -0.694597662936224
"LAYING" 26 "tBodyGyroMag_std__" -0.751833690215051
"LAYING" 26 "tBodyGyroJerkMag_mean__" -0.798325916709184
"LAYING" 26 "tBodyGyroJerkMag_std__" -0.818279112908163
"LAYING" 26 "fBodyAcc_mean___X" -0.65109030186199
"LAYING" 26 "fBodyAcc_mean___Y" -0.610425833240306
"LAYING" 26 "fBodyAcc_mean___Z" -0.724046087155612
"LAYING" 26 "fBodyAcc_std___X" -0.61349959767602
"LAYING" 26 "fBodyAcc_std___Y" -0.600274809826275
"LAYING" 26 "fBodyAcc_std___Z" -0.718490475765306
"LAYING" 26 "fBodyAcc_meanFreq___X" -0.222545825808673
"LAYING" 26 "fBodyAcc_meanFreq___Y" 0.0360382137913265
"LAYING" 26 "fBodyAcc_meanFreq___Z" 0.142429401875406
"LAYING" 26 "fBodyAccJerk_mean___X" -0.699413168295663
"LAYING" 26 "fBodyAccJerk_mean___Y" -0.696726473912755
"LAYING" 26 "fBodyAccJerk_mean___Z" -0.76956529125
"LAYING" 26 "fBodyAccJerk_std___X" -0.694314518927551
"LAYING" 26 "fBodyAccJerk_std___Y" -0.6803580612
"LAYING" 26 "fBodyAccJerk_std___Z" -0.78604912494898
"LAYING" 26 "fBodyAccJerk_meanFreq___X" -0.0238396622303571
"LAYING" 26 "fBodyAccJerk_meanFreq___Y" -0.168914575347832
"LAYING" 26 "fBodyAccJerk_meanFreq___Z" -0.0850462848380867
"LAYING" 26 "fBodyGyro_mean___X" -0.703109561068878
"LAYING" 26 "fBodyGyro_mean___Y" -0.799353075357143
"LAYING" 26 "fBodyGyro_mean___Z" -0.689404846813776
"LAYING" 26 "fBodyGyro_std___X" -0.78740310059949
"LAYING" 26 "fBodyGyro_std___Y" -0.803635337372449
"LAYING" 26 "fBodyGyro_std___Z" -0.735942384438775
"LAYING" 26 "fBodyGyro_meanFreq___X" -0.0167778610493112
"LAYING" 26 "fBodyGyro_meanFreq___Y" -0.0997774465610969
"LAYING" 26 "fBodyGyro_meanFreq___Z" 0.00293652401732143
"LAYING" 26 "fBodyAccMag_mean__" -0.6317569828625
"LAYING" 26 "fBodyAccMag_std__" -0.673917799546684
"LAYING" 26 "fBodyAccMag_meanFreq__" 0.0883286687093878
"LAYING" 26 "fBodyBodyAccJerkMag_mean__" -0.679278323637755
"LAYING" 26 "fBodyBodyAccJerkMag_std__" -0.678025758312755
"LAYING" 26 "fBodyBodyAccJerkMag_meanFreq__" 0.180460663889796
"LAYING" 26 "fBodyBodyGyroMag_mean__" -0.770504884821429
"LAYING" 26 "fBodyBodyGyroMag_std__" -0.782624320831633
"LAYING" 26 "fBodyBodyGyroMag_meanFreq__" -0.0121587278753342
"LAYING" 26 "fBodyBodyGyroJerkMag_mean__" -0.823865297193878
"LAYING" 26 "fBodyBodyGyroJerkMag_std__" -0.823991408418367
"LAYING" 26 "fBodyBodyGyroJerkMag_meanFreq__" 0.147533706980564
"LAYING" 27 "tBodyAcc_mean___X" 0.277264567074468
"LAYING" 27 "tBodyAcc_mean___Y" -0.0167969215592152
"LAYING" 27 "tBodyAcc_mean___Z" -0.110848300413564
"LAYING" 27 "tBodyAcc_std___X" -0.660976085218085
"LAYING" 27 "tBodyAcc_std___Y" -0.630460488658511
"LAYING" 27 "tBodyAcc_std___Z" -0.68321532587766
"LAYING" 27 "tGravityAcc_mean___X" 0.627230079867021
"LAYING" 27 "tGravityAcc_mean___Y" 0.032242387143617
"LAYING" 27 "tGravityAcc_mean___Z" 0.14116869604876
"LAYING" 27 "tGravityAcc_std___X" -0.974620173404255
"LAYING" 27 "tGravityAcc_std___Y" -0.972505174787234
"LAYING" 27 "tGravityAcc_std___Z" -0.959200394414894
"LAYING" 27 "tBodyAccJerk_mean___X" 0.0768320396617021
"LAYING" 27 "tBodyAccJerk_mean___Y" 0.00617714992829521
"LAYING" 27 "tBodyAccJerk_mean___Z" -0.00495000607441489
"LAYING" 27 "tBodyAccJerk_std___X" -0.700549974357447
"LAYING" 27 "tBodyAccJerk_std___Y" -0.674792293475665
"LAYING" 27 "tBodyAccJerk_std___Z" -0.783632076781915
"LAYING" 27 "tBodyGyro_mean___X" -0.0608887602789628
"LAYING" 27 "tBodyGyro_mean___Y" -0.0552177945716489
"LAYING" 27 "tBodyGyro_mean___Z" 0.108947089653191
"LAYING" 27 "tBodyGyro_std___X" -0.795853557018617
"LAYING" 27 "tBodyGyro_std___Y" -0.802048718989362
"LAYING" 27 "tBodyGyro_std___Z" -0.674128512103723
"LAYING" 27 "tBodyGyroJerk_mean___X" -0.0893066039356303
"LAYING" 27 "tBodyGyroJerk_mean___Y" -0.0450414487725798
"LAYING" 27 "tBodyGyroJerk_mean___Z" -0.0586254676047872
"LAYING" 27 "tBodyGyroJerk_std___X" -0.8210758325
"LAYING" 27 "tBodyGyroJerk_std___Y" -0.837320211489362
"LAYING" 27 "tBodyGyroJerk_std___Z" -0.782945588829787
"LAYING" 27 "tBodyAccMag_mean__" -0.627947737417819
"LAYING" 27 "tBodyAccMag_std__" -0.677874152031915
"LAYING" 27 "tGravityAccMag_mean__" -0.627947737417819
"LAYING" 27 "tGravityAccMag_std__" -0.677874152031915
"LAYING" 27 "tBodyAccJerkMag_mean__" -0.70180744799867
"LAYING" 27 "tBodyAccJerkMag_std__" -0.696003354282979
"LAYING" 27 "tBodyGyroMag_mean__" -0.694016019806117
"LAYING" 27 "tBodyGyroMag_std__" -0.754713306440957
"LAYING" 27 "tBodyGyroJerkMag_mean__" -0.823067662473404
"LAYING" 27 "tBodyGyroJerkMag_std__" -0.837212879564096
"LAYING" 27 "fBodyAcc_mean___X" -0.681454795855319
"LAYING" 27 "fBodyAcc_mean___Y" -0.641267840429521
"LAYING" 27 "fBodyAcc_mean___Z" -0.715482857547872
"LAYING" 27 "fBodyAcc_std___X" -0.654659392263298
"LAYING" 27 "fBodyAcc_std___Y" -0.649506674776596
"LAYING" 27 "fBodyAcc_std___Z" -0.692130765962766
"LAYING" 27 "fBodyAcc_meanFreq___X" -0.170304284611436
"LAYING" 27 "fBodyAcc_meanFreq___Y" 0.0959656106490425
"LAYING" 27 "fBodyAcc_meanFreq___Z" 0.133213659481649
"LAYING" 27 "fBodyAccJerk_mean___X" -0.714554678365692
"LAYING" 27 "fBodyAccJerk_mean___Y" -0.694509658473138
"LAYING" 27 "fBodyAccJerk_mean___Z" -0.76857445225266
"LAYING" 27 "fBodyAccJerk_std___X" -0.712857956529255
"LAYING" 27 "fBodyAccJerk_std___Y" -0.675744794384308
"LAYING" 27 "fBodyAccJerk_std___Z" -0.797303408218085
"LAYING" 27 "fBodyAccJerk_meanFreq___X" -0.010461749626117
"LAYING" 27 "fBodyAccJerk_meanFreq___Y" -0.115922114097074
"LAYING" 27 "fBodyAccJerk_meanFreq___Z" -0.0681591510367021
"LAYING" 27 "fBodyGyro_mean___X" -0.768505711292553
"LAYING" 27 "fBodyGyro_mean___Y" -0.795433953608777
"LAYING" 27 "fBodyGyro_mean___Z" -0.702788513114362
"LAYING" 27 "fBodyGyro_std___X" -0.806288410297872
"LAYING" 27 "fBodyGyro_std___Y" -0.808791849202128
"LAYING" 27 "fBodyGyro_std___Z" -0.697147299066489
"LAYING" 27 "fBodyGyro_meanFreq___X" -0.089165360111383
"LAYING" 27 "fBodyGyro_meanFreq___Y" -0.0526592695792021
"LAYING" 27 "fBodyGyro_meanFreq___Z" -0.00708333609679521
"LAYING" 27 "fBodyAccMag_mean__" -0.667185803946808
"LAYING" 27 "fBodyAccMag_std__" -0.734883056953989
"LAYING" 27 "fBodyAccMag_meanFreq__" 0.191781299814787
"LAYING" 27 "fBodyBodyAccJerkMag_mean__" -0.688572791044947
"LAYING" 27 "fBodyBodyAccJerkMag_std__" -0.707531366315426
"LAYING" 27 "fBodyBodyAccJerkMag_meanFreq__" 0.246742199214894
"LAYING" 27 "fBodyBodyGyroMag_mean__" -0.785953610106383
"LAYING" 27 "fBodyBodyGyroMag_std__" -0.777810418832447
"LAYING" 27 "fBodyBodyGyroMag_meanFreq__" 0.0114867378614096
"LAYING" 27 "fBodyBodyGyroJerkMag_mean__" -0.837585999827128
"LAYING" 27 "fBodyBodyGyroJerkMag_std__" -0.848260021656915
"LAYING" 27 "fBodyBodyGyroJerkMag_meanFreq__" 0.203684998121436
"LAYING" 28 "tBodyAcc_mean___X" 0.277532554764398
"LAYING" 28 "tBodyAcc_mean___Y" -0.0191721442063089
"LAYING" 28 "tBodyAcc_mean___Z" -0.109710873104188
"LAYING" 28 "tBodyAcc_std___X" -0.649040391307853
"LAYING" 28 "tBodyAcc_std___Y" -0.573651895933508
"LAYING" 28 "tBodyAcc_std___Z" -0.685821415026178
"LAYING" 28 "tGravityAcc_mean___X" 0.62376789513089
"LAYING" 28 "tGravityAcc_mean___Y" -0.14757775521466
"LAYING" 28 "tGravityAcc_mean___Z" -0.0469931021049738
"LAYING" 28 "tGravityAcc_std___X" -0.973873328062827
"LAYING" 28 "tGravityAcc_std___Y" -0.960365626256545
"LAYING" 28 "tGravityAcc_std___Z" -0.946225637251309
"LAYING" 28 "tBodyAccJerk_mean___X" 0.0807263062382199
"LAYING" 28 "tBodyAccJerk_mean___Y" 0.0138224436546073
"LAYING" 28 "tBodyAccJerk_mean___Z" 0.000824208324801046
"LAYING" 28 "tBodyAccJerk_std___X" -0.680813725392147
"LAYING" 28 "tBodyAccJerk_std___Y" -0.651619848945026
"LAYING" 28 "tBodyAccJerk_std___Z" -0.800870581884817
"LAYING" 28 "tBodyGyro_mean___X" -0.064496354556466
"LAYING" 28 "tBodyGyro_mean___Y" -0.0471474023101021
"LAYING" 28 "tBodyGyro_mean___Z" 0.100840281329581
"LAYING" 28 "tBodyGyro_std___X" -0.740276591873298
"LAYING" 28 "tBodyGyro_std___Y" -0.741285540196335
"LAYING" 28 "tBodyGyro_std___Z" -0.669789662889791
"LAYING" 28 "tBodyGyroJerk_mean___X" -0.0881213551172775
"LAYING" 28 "tBodyGyroJerk_mean___Y" -0.0447972595862042
"LAYING" 28 "tBodyGyroJerk_mean___Z" -0.0607680707408115
"LAYING" 28 "tBodyGyroJerk_std___X" -0.720515676293194
"LAYING" 28 "tBodyGyroJerk_std___Y" -0.825038783246073
"LAYING" 28 "tBodyGyroJerk_std___Z" -0.769755981125654
"LAYING" 28 "tBodyAccMag_mean__" -0.610030902501309
"LAYING" 28 "tBodyAccMag_std__" -0.635821226515969
"LAYING" 28 "tGravityAccMag_mean__" -0.610030902501309
"LAYING" 28 "tGravityAccMag_std__" -0.635821226515969
"LAYING" 28 "tBodyAccJerkMag_mean__" -0.689429387759162
"LAYING" 28 "tBodyAccJerkMag_std__" -0.687703433627487
"LAYING" 28 "tBodyGyroMag_mean__" -0.648538641430367
"LAYING" 28 "tBodyGyroMag_std__" -0.710956808836911
"LAYING" 28 "tBodyGyroJerkMag_mean__" -0.78929494326178
"LAYING" 28 "tBodyGyroJerkMag_std__" -0.805738383010471
"LAYING" 28 "fBodyAcc_mean___X" -0.654156519193717
"LAYING" 28 "fBodyAcc_mean___Y" -0.584932500113874
"LAYING" 28 "fBodyAcc_mean___Z" -0.715134474431937
"LAYING" 28 "fBodyAcc_std___X" -0.647807192984293
"LAYING" 28 "fBodyAcc_std___Y" -0.595110472615916
"LAYING" 28 "fBodyAcc_std___Z" -0.695767279528796
"LAYING" 28 "fBodyAcc_meanFreq___X" -0.217894722988743
"LAYING" 28 "fBodyAcc_meanFreq___Y" -0.0652270030997382
"LAYING" 28 "fBodyAcc_meanFreq___Z" 0.0189878861753927
"LAYING" 28 "fBodyAccJerk_mean___X" -0.686723799059424
"LAYING" 28 "fBodyAccJerk_mean___Y" -0.670718095926963
"LAYING" 28 "fBodyAccJerk_mean___Z" -0.779061720358639
"LAYING" 28 "fBodyAccJerk_std___X" -0.704073382410995
"LAYING" 28 "fBodyAccJerk_std___Y" -0.654855915271466
"LAYING" 28 "fBodyAccJerk_std___Z" -0.821715494424084
"LAYING" 28 "fBodyAccJerk_meanFreq___X" -0.034209736104712
"LAYING" 28 "fBodyAccJerk_meanFreq___Y" -0.277563092237149
"LAYING" 28 "fBodyAccJerk_meanFreq___Z" -0.126061027159817
"LAYING" 28 "fBodyGyro_mean___X" -0.674356656020942
"LAYING" 28 "fBodyGyro_mean___Y" -0.747067907931937
"LAYING" 28 "fBodyGyro_mean___Z" -0.673513886890838
"LAYING" 28 "fBodyGyro_std___X" -0.762030978010471
"LAYING" 28 "fBodyGyro_std___Y" -0.740819453429319
"LAYING" 28 "fBodyGyro_std___Z" -0.700291282881152
"LAYING" 28 "fBodyGyro_meanFreq___X" -0.151644339683717
"LAYING" 28 "fBodyGyro_meanFreq___Y" -0.270613215077225
"LAYING" 28 "fBodyGyro_meanFreq___Z" -0.0896917400047906
"LAYING" 28 "fBodyAccMag_mean__" -0.628763247405236
"LAYING" 28 "fBodyAccMag_std__" -0.696993999667801
"LAYING" 28 "fBodyAccMag_meanFreq__" 0.0179948502780366
"LAYING" 28 "fBodyBodyAccJerkMag_mean__" -0.675428720467801
"LAYING" 28 "fBodyBodyAccJerkMag_std__" -0.706415829342932
"LAYING" 28 "fBodyBodyAccJerkMag_meanFreq__" 0.173610396659424
"LAYING" 28 "fBodyBodyGyroMag_mean__" -0.73790809206911
"LAYING" 28 "fBodyBodyGyroMag_std__" -0.743784612693717
"LAYING" 28 "fBodyBodyGyroMag_meanFreq__" -0.122999827523272
"LAYING" 28 "fBodyBodyGyroJerkMag_mean__" -0.806882151753927
"LAYING" 28 "fBodyBodyGyroJerkMag_std__" -0.818448508376963
"LAYING" 28 "fBodyBodyGyroJerkMag_meanFreq__" -0.00200923842099476
"LAYING" 29 "tBodyAcc_mean___X" 0.279111521944767
"LAYING" 29 "tBodyAcc_mean___Y" -0.018471953048314
"LAYING" 29 "tBodyAcc_mean___Z" -0.108675612269477
"LAYING" 29 "tBodyAcc_std___X" -0.574295395364826
"LAYING" 29 "tBodyAcc_std___Y" -0.598400275636657
"LAYING" 29 "tBodyAcc_std___Z" -0.606461283926453
"LAYING" 29 "tGravityAcc_mean___X" 0.683067625610465
"LAYING" 29 "tGravityAcc_mean___Y" 0.115489757911628
"LAYING" 29 "tGravityAcc_mean___Z" 0.208215370043721
"LAYING" 29 "tGravityAcc_std___X" -0.973282885843023
"LAYING" 29 "tGravityAcc_std___Y" -0.964643161017442
"LAYING" 29 "tGravityAcc_std___Z" -0.941621790232558
"LAYING" 29 "tBodyAccJerk_mean___X" 0.0788382324713372
"LAYING" 29 "tBodyAccJerk_mean___Y" 0.00900161248883721
"LAYING" 29 "tBodyAccJerk_mean___Z" -0.00355290542467733
"LAYING" 29 "tBodyAccJerk_std___X" -0.623456414216366
"LAYING" 29 "tBodyAccJerk_std___Y" -0.635499779848779
"LAYING" 29 "tBodyAccJerk_std___Z" -0.793746797790698
"LAYING" 29 "tBodyGyro_mean___X" -0.0101831910869331
"LAYING" 29 "tBodyGyro_mean___Y" -0.0882883296441861
"LAYING" 29 "tBodyGyro_mean___Z" 0.0881626266546221
"LAYING" 29 "tBodyGyro_std___X" -0.73469927369157
"LAYING" 29 "tBodyGyro_std___Y" -0.634569173421512
"LAYING" 29 "tBodyGyro_std___Z" -0.713864583982558
"LAYING" 29 "tBodyGyroJerk_mean___X" -0.100707751809855
"LAYING" 29 "tBodyGyroJerk_mean___Y" -0.0464322029527616
"LAYING" 29 "tBodyGyroJerk_mean___Z" -0.052785999031686
"LAYING" 29 "tBodyGyroJerk_std___X" -0.736117664139535
"LAYING" 29 "tBodyGyroJerk_std___Y" -0.853639613139535
"LAYING" 29 "tBodyGyroJerk_std___Z" -0.770221314302326
"LAYING" 29 "tBodyAccMag_mean__" -0.553585593347965
"LAYING" 29 "tBodyAccMag_std__" -0.579067216088081
"LAYING" 29 "tGravityAccMag_mean__" -0.553585593347965
"LAYING" 29 "tGravityAccMag_std__" -0.579067216088081
"LAYING" 29 "tBodyAccJerkMag_mean__" -0.664538060484884
"LAYING" 29 "tBodyAccJerkMag_std__" -0.620472049862791
"LAYING" 29 "tBodyGyroMag_mean__" -0.602228993700349
"LAYING" 29 "tBodyGyroMag_std__" -0.653732301592151
"LAYING" 29 "tBodyGyroJerkMag_mean__" -0.802293906366279
"LAYING" 29 "tBodyGyroJerkMag_std__" -0.840156364186047
"LAYING" 29 "fBodyAcc_mean___X" -0.579901000186134
"LAYING" 29 "fBodyAcc_mean___Y" -0.587686308146221
"LAYING" 29 "fBodyAcc_mean___Z" -0.680547675465116
"LAYING" 29 "fBodyAcc_std___X" -0.5727879490375
"LAYING" 29 "fBodyAcc_std___Y" -0.630978844851831
"LAYING" 29 "fBodyAcc_std___Z" -0.602550925183721
"LAYING" 29 "fBodyAcc_meanFreq___X" -0.165350787567733
"LAYING" 29 "fBodyAcc_meanFreq___Y" 0.128076957523023
"LAYING" 29 "fBodyAcc_meanFreq___Z" 0.0886270605992151
"LAYING" 29 "fBodyAccJerk_mean___X" -0.629875853152035
"LAYING" 29 "fBodyAccJerk_mean___Y" -0.641289075786337
"LAYING" 29 "fBodyAccJerk_mean___Z" -0.768433928313954
"LAYING" 29 "fBodyAccJerk_std___X" -0.651564188964826
"LAYING" 29 "fBodyAccJerk_std___Y" -0.655526116655523
"LAYING" 29 "fBodyAccJerk_std___Z" -0.818292780813954
"LAYING" 29 "fBodyAccJerk_meanFreq___X" 0.0107764076990698
"LAYING" 29 "fBodyAccJerk_meanFreq___Y" -0.0815611305061628
"LAYING" 29 "fBodyAccJerk_meanFreq___Z" -0.00952646181569767
"LAYING" 29 "fBodyGyro_mean___X" -0.685747413486628
"LAYING" 29 "fBodyGyro_mean___Y" -0.735972301656977
"LAYING" 29 "fBodyGyro_mean___Z" -0.689221357718023
"LAYING" 29 "fBodyGyro_std___X" -0.752567831707849
"LAYING" 29 "fBodyGyro_std___Y" -0.588857987485174
"LAYING" 29 "fBodyGyro_std___Z" -0.749163172296512
"LAYING" 29 "fBodyGyro_meanFreq___X" 0.00201044246625
"LAYING" 29 "fBodyGyro_meanFreq___Y" -0.253940049719767
"LAYING" 29 "fBodyGyro_meanFreq___Z" 0.0203516079320058
"LAYING" 29 "fBodyAccMag_mean__" -0.589294014734302
"LAYING" 29 "fBodyAccMag_std__" -0.639314176054942
"LAYING" 29 "fBodyAccMag_meanFreq__" 0.162765300930698
"LAYING" 29 "fBodyBodyAccJerkMag_mean__" -0.609879937469099
"LAYING" 29 "fBodyBodyAccJerkMag_std__" -0.636434470547384
"LAYING" 29 "fBodyBodyAccJerkMag_meanFreq__" 0.227450813250137
"LAYING" 29 "fBodyBodyGyroMag_mean__" -0.722018434984302
"LAYING" 29 "fBodyBodyGyroMag_std__" -0.671454324368401
"LAYING" 29 "fBodyBodyGyroMag_meanFreq__" -0.0446469221483721
"LAYING" 29 "fBodyBodyGyroJerkMag_mean__" -0.840464164156977
"LAYING" 29 "fBodyBodyGyroJerkMag_std__" -0.851462426569767
"LAYING" 29 "fBodyBodyGyroJerkMag_meanFreq__" 0.212434137252471
"LAYING" 30 "tBodyAcc_mean___X" 0.276305836721932
"LAYING" 30 "tBodyAcc_mean___Y" -0.0175856077340209
"LAYING" 30 "tBodyAcc_mean___Z" -0.10589355727859
"LAYING" 30 "tBodyAcc_std___X" -0.615890785389034
"LAYING" 30 "tBodyAcc_std___Y" -0.519047387875457
"LAYING" 30 "tBodyAcc_std___Z" -0.522643273772115
"LAYING" 30 "tGravityAcc_mean___X" 0.696858200678851
"LAYING" 30 "tGravityAcc_mean___Y" 0.0512698188974987
"LAYING" 30 "tGravityAcc_mean___Z" 0.184343178348037
"LAYING" 30 "tGravityAcc_std___X" -0.974319118563969
"LAYING" 30 "tGravityAcc_std___Y" -0.952288292767624
"LAYING" 30 "tGravityAcc_std___Z" -0.92943263464752
"LAYING" 30 "tBodyAccJerk_mean___X" 0.0734799270148825
"LAYING" 30 "tBodyAccJerk_mean___Y" 0.00730438257971279
